iter	RMSE
0	1.086727546
1	1.027640676
2	0.9778768061
3	0.9348087787
4	0.8919007717
5	0.8564802475
6	0.8275433602
7	0.797057897
8	0.7743425572
9	0.7520169034
10	0.729961181
11	0.7086756946
12	0.6934270534
13	0.6798177478
14	0.6680322765
15	0.6558788879
16	0.6444937358
17	0.6356939852
18	0.625066412
19	0.6163171361
20	0.6098722374
21	0.6038898541
22	0.5982961878
23	0.5926613334
24	0.5884141468
25	0.5815438447
26	0.5773638127
27	0.5740292756
28	0.5701677977
29	0.5649952742
30	0.561524287
31	0.5578387181
32	0.5548988488
33	0.5523893984
34	0.5502925103
35	0.5465499502
36	0.5450784063
37	0.5423461767
38	0.5399348555
39	0.538457083
40	0.5354433341
41	0.5334670922
42	0.5319954116
43	0.5306800395
44	0.5288627492
45	0.5270339864
46	0.5250943172
47	0.5239708968
48	0.5227258659
49	0.522026972
50	0.5202816422
51	0.5187048543
52	0.5175031599
53	0.5153612779
54	0.5142707513
55	0.5128906252
56	0.5116399645
57	0.510126683
58	0.5078142709
59	0.5066588012
60	0.5057076973
61	0.5047511826
62	0.5018922469
63	0.5006201446
64	0.4998589785
65	0.4989709915
66	0.4980190547
67	0.4963826464
68	0.4947351159
69	0.4938078997
70	0.4928479048
71	0.4916279504
72	0.4907671272
73	0.4900071546
74	0.4892190398
75	0.4884063665
76	0.4871114952
77	0.4856263849
78	0.4846733794
79	0.4841414168
80	0.4830411323
81	0.4821850847
82	0.4810549468
83	0.4800574163
84	0.4792386331
85	0.4783096942
86	0.4774589999
87	0.4767183352
88	0.4757836152
89	0.4749659158
90	0.4741879478
91	0.4732226676
92	0.4723344017
93	0.4714635946
94	0.4706540978
95	0.470000602
96	0.4689157006
97	0.4682512568
98	0.466483436
99	0.4657353059
100	0.4648263893
101	0.4638884389
102	0.4631749858
103	0.4624626214
104	0.4617239162
105	0.4608131695
106	0.460066231
107	0.4591990608
108	0.4581248637
109	0.4575655632
110	0.4568344658
111	0.4562914594
112	0.4555542541
113	0.4548785271
114	0.4541751456
115	0.4534830412
116	0.4525139471
117	0.4518768282
118	0.4512610839
119	0.4506620242
120	0.4499506607
121	0.44892904
122	0.4481828786
123	0.4472886989
124	0.4464444401
125	0.445959582
126	0.445131103
127	0.4446550326
128	0.4441632551
129	0.4434936533
130	0.4428900495
131	0.4422286722
132	0.4416529539
133	0.4409371216
134	0.4403094118
135	0.4397580246
136	0.4389179226
137	0.4383484292
138	0.4372114837
139	0.4365259645
140	0.4361315791
141	0.4355746053
142	0.4347675284
143	0.4340937048
144	0.4335103452
145	0.4329841221
146	0.4325770956
147	0.4318510334
148	0.4312787333
149	0.430621876
150	0.4301735055
151	0.4297557139
152	0.4292342041
153	0.4286884347
154	0.4281187805
155	0.4275463522
156	0.4267972593
157	0.4263060503
158	0.4249942818
159	0.4242484979
160	0.4235651687
161	0.4231650888
162	0.4225712547
163	0.4220111406
164	0.4215580243
165	0.4208793629
166	0.4205066542
167	0.4199214699
168	0.419580162
169	0.418897581
170	0.4183987238
171	0.4176490636
172	0.4171242668
173	0.4167033204
174	0.4162594774
175	0.4159057194
176	0.4150660574
177	0.4144803701
178	0.413874744
179	0.4131683911
180	0.4124820671
181	0.4119254148
182	0.4108359676
183	0.4105309384
184	0.4102355337
185	0.4097387228
186	0.4091945982
187	0.4086072205
188	0.4081102901
189	0.4074227971
190	0.4070057387
191	0.4064645585
192	0.4057341106
193	0.4053277218
194	0.4047526896
195	0.4042542812
196	0.4037533211
197	0.4031584557
198	0.4028525638
199	0.4024552644
200	0.4021214323
201	0.4015978601
202	0.4007628158
203	0.4004760609
204	0.3998221306
205	0.3994615814
206	0.3992028566
207	0.3987387825
208	0.3983617579
209	0.3980274943
210	0.3977927274
211	0.3972149631
212	0.3965513208
213	0.3962334533
214	0.395814221
215	0.3953459239
216	0.3950587967
217	0.3945187803
218	0.3942469274
219	0.3939204841
220	0.3935426247
221	0.3931234764
222	0.3928028138
223	0.3925015283
224	0.3921758009
225	0.3918176453
226	0.391364673
227	0.3908320893
228	0.3901170058
229	0.3896714348
230	0.3892232782
231	0.388886059
232	0.3883764601
233	0.387964236
234	0.3873014638
235	0.3868834189
236	0.3865760588
237	0.38603886
238	0.3857540932
239	0.3854509301
240	0.3852042315
241	0.3848481995
242	0.3843703506
243	0.3838981142
244	0.3835022987
245	0.3831521395
246	0.3827106781
247	0.3822949966
248	0.3819974149
249	0.3815405957
250	0.3813101499
251	0.3809390946
252	0.3806374856
253	0.3800977992
254	0.3796907389
255	0.3794996227
256	0.378844532
257	0.3784093501
258	0.378124758
259	0.3776424145
260	0.3771972325
261	0.3768398573
262	0.3764756578
263	0.3760983492
264	0.3757867132
265	0.37536512
266	0.3749245697
267	0.3745688626
268	0.3742683988
269	0.3738702501
270	0.3735505379
271	0.3729585883
272	0.3726311133
273	0.3723472855
274	0.3720686278
275	0.3716929606
276	0.3714222022
277	0.371131678
278	0.3708094571
279	0.3705236653
280	0.3700611314
281	0.369487848
282	0.3690310385
283	0.3685837117
284	0.3683964776
285	0.3680574763
286	0.3676716483
287	0.3670774771
288	0.3665876824
289	0.3663262928
290	0.3660742289
291	0.3655756464
292	0.3654081216
293	0.365215449
294	0.3647112924
295	0.3642734888
296	0.3639706851
297	0.3635164902
298	0.3633543044
299	0.3628570293
300	0.3626744818
301	0.3622141998
302	0.3618076078
303	0.3615015442
304	0.3613037753
305	0.3608800029
306	0.3605358016
307	0.3601631292
308	0.3599274562
309	0.359582343
310	0.3590873359
311	0.3587569455
312	0.3583323324
313	0.3580070579
314	0.3578010644
315	0.3575167562
316	0.3572259175
317	0.356835979
318	0.356663959
319	0.3563758264
320	0.3560835397
321	0.3558110284
322	0.3555652449
323	0.3553402131
324	0.35515303
325	0.3549090415
326	0.3545789792
327	0.3543879897
328	0.354067506
329	0.3538076048
330	0.3536095853
331	0.3532808144
332	0.3528050427
333	0.3526339557
334	0.3524635512
335	0.3521582825
336	0.3517434712
337	0.3515006875
338	0.3512182325
339	0.3509673206
340	0.3507217985
341	0.350446512
342	0.350051263
343	0.3497857305
344	0.3495706794
345	0.3491714539
346	0.3488316088
347	0.3483937803
348	0.3480912573
349	0.347830508
350	0.3476485182
351	0.3474101213
352	0.3472647752
353	0.3469551108
354	0.3467410471
355	0.3464567349
356	0.3462496386
357	0.3459058396
358	0.3455794824
359	0.3453559848
