iter	Passed	Remaining
0	10	4142
1	20	4054
2	29	3887
3	40	3994
4	49	3930
5	59	3909
6	70	3945
7	79	3918
8	91	3956
9	101	3948
10	110	3919
11	120	3911
12	129	3857
13	138	3816
14	147	3780
15	155	3733
16	167	3773
17	177	3761
18	187	3754
19	199	3784
20	212	3834
21	222	3818
22	231	3796
23	243	3810
24	252	3794
25	263	3793
26	274	3786
27	285	3799
28	296	3795
29	306	3784
30	317	3775
31	328	3775
32	339	3772
33	348	3754
34	359	3744
35	368	3726
36	377	3705
37	387	3690
38	399	3700
39	410	3691
40	419	3676
41	429	3658
42	440	3660
43	452	3661
44	463	3653
45	472	3638
46	483	3628
47	492	3614
48	502	3601
49	512	3587
50	522	3577
51	533	3569
52	541	3548
53	551	3533
54	561	3519
55	570	3507
56	582	3507
57	591	3490
58	603	3485
59	613	3476
60	622	3460
61	633	3454
62	644	3448
63	655	3442
64	667	3439
65	675	3420
66	684	3401
67	695	3395
68	704	3380
69	717	3381
70	728	3376
71	738	3366
72	748	3354
73	757	3338
74	768	3331
75	778	3320
76	789	3311
77	798	3295
78	807	3281
79	816	3264
80	827	3257
81	837	3247
82	847	3236
83	858	3228
84	869	3223
85	880	3213
86	889	3201
87	900	3194
88	912	3187
89	920	3171
90	930	3160
91	941	3150
92	953	3146
93	962	3133
94	972	3123
95	981	3109
96	991	3096
97	1000	3084
98	1011	3075
99	1020	3060
100	1029	3047
101	1038	3035
102	1048	3023
103	1058	3012
104	1069	3003
105	1077	2989
106	1087	2977
107	1098	2968
108	1106	2955
109	1116	2942
110	1125	2931
111	1135	2919
112	1145	2908
113	1156	2901
114	1166	2889
115	1176	2880
116	1188	2874
117	1198	2865
118	1208	2853
119	1218	2842
120	1226	2828
121	1237	2819
122	1247	2809
123	1258	2801
124	1267	2788
125	1278	2779
126	1289	2771
127	1298	2759
128	1307	2747
129	1318	2738
130	1330	2732
131	1340	2721
132	1350	2711
133	1361	2701
134	1369	2687
135	1376	2672
136	1387	2663
137	1396	2650
138	1405	2638
139	1415	2629
140	1425	2618
141	1435	2608
142	1445	2597
143	1453	2584
144	1464	2574
145	1472	2561
146	1480	2547
147	1489	2535
148	1497	2522
149	1506	2511
150	1516	2501
151	1528	2493
152	1536	2481
153	1546	2470
154	1557	2461
155	1566	2449
156	1575	2438
157	1586	2429
158	1596	2419
159	1606	2409
160	1616	2400
161	1628	2392
162	1638	2382
163	1650	2375
164	1662	2367
165	1671	2356
166	1682	2347
167	1691	2335
168	1701	2325
169	1712	2317
170	1721	2305
171	1732	2296
172	1744	2289
173	1753	2277
174	1766	2271
175	1776	2260
176	1786	2251
177	1798	2242
178	1807	2231
179	1816	2220
180	1825	2208
181	1835	2198
182	1845	2188
183	1854	2177
184	1864	2166
185	1874	2156
186	1884	2146
187	1895	2137
188	1906	2128
189	1915	2117
190	1925	2106
191	1935	2096
192	1945	2087
193	1956	2077
194	1967	2068
195	1977	2058
196	1988	2048
197	1999	2039
198	2007	2027
199	2016	2016
200	2024	2004
201	2035	1995
202	2043	1983
203	2053	1972
204	2064	1963
205	2072	1952
206	2082	1941
207	2093	1932
208	2103	1922
209	2112	1911
210	2121	1900
211	2130	1889
212	2141	1880
213	2150	1869
214	2161	1859
215	2172	1850
216	2181	1839
217	2190	1828
218	2199	1818
219	2208	1806
220	2217	1796
221	2228	1786
222	2237	1776
223	2247	1765
224	2256	1755
225	2267	1745
226	2277	1735
227	2287	1725
228	2297	1715
229	2308	1706
230	2316	1694
231	2325	1683
232	2334	1673
233	2344	1663
234	2355	1653
235	2366	1644
236	2376	1634
237	2389	1626
238	2400	1617
239	2409	1606
240	2418	1595
241	2428	1585
242	2438	1575
243	2448	1565
244	2457	1554
245	2467	1544
246	2478	1535
247	2488	1525
248	2498	1515
249	2508	1505
250	2519	1495
251	2528	1484
252	2539	1475
253	2549	1465
254	2559	1455
255	2568	1444
256	2579	1435
257	2588	1424
258	2598	1414
259	2606	1403
260	2616	1393
261	2625	1382
262	2636	1373
263	2647	1363
264	2656	1353
265	2664	1342
266	2675	1332
267	2683	1321
268	2692	1311
269	2701	1300
270	2711	1290
271	2721	1280
272	2731	1270
273	2741	1260
274	2751	1250
275	2761	1240
276	2770	1230
277	2781	1220
278	2790	1210
279	2797	1199
280	2808	1189
281	2817	1179
282	2828	1169
283	2838	1159
284	2849	1149
285	2859	1139
286	2868	1129
287	2878	1119
288	2889	1109
289	2900	1100
290	2911	1090
291	2922	1080
292	2933	1071
293	2943	1061
294	2955	1052
295	2966	1042
296	2978	1032
297	2988	1022
298	2997	1012
299	3009	1003
300	3019	993
301	3028	982
302	3038	972
303	3048	962
304	3056	952
305	3066	941
306	3092	936
307	3100	926
308	3112	916
309	3123	906
310	3132	896
311	3143	886
312	3152	876
313	3162	866
314	3173	856
315	3182	846
316	3193	836
317	3203	826
318	3213	816
319	3222	805
320	3234	795
321	3244	785
322	3253	775
323	3264	765
324	3275	755
325	3285	745
326	3296	735
327	3308	726
328	3316	715
329	3326	705
330	3338	695
331	3349	686
332	3358	675
333	3369	665
334	3377	655
335	3386	644
336	3395	634
337	3405	624
338	3415	614
339	3424	604
340	3432	593
341	3442	583
342	3453	573
343	3463	563
344	3472	553
345	3483	543
346	3492	533
347	3501	523
348	3513	513
349	3524	503
350	3534	493
351	3544	483
352	3553	473
353	3563	463
354	3574	453
355	3584	443
356	3594	432
357	3603	422
358	3613	412
359	3622	402
360	3631	392
361	3643	382
362	3653	372
363	3661	362
364	3671	352
365	3680	341
366	3689	331
367	3699	321
368	3708	311
369	3717	301
370	3726	291
371	3738	281
372	3751	271
373	3761	261
374	3770	251
375	3782	241
376	3791	231
377	3800	221
378	3810	211
379	3820	201
380	3830	191
381	3839	180
382	3848	170
383	3860	160
384	3870	150
385	3880	140
386	3891	130
387	3902	120
388	3910	110
389	3924	100
390	3935	90
391	3945	80
392	3956	70
